card_uid,place_id,geometry,name,photos,vicinity,update,business_status,likes,dislikes,mustDos
0,ChIJXyC7WTu_woARPvVMCHBXd4U,"{'location': {'lat': 34.1016345, 'lng': -118.3267051}, 'viewport': {'northeast': {'lat': 34.10298432989271, 'lng': -118.3253552701073}, 'southwest': {'lat': 34.10028467010727, 'lng': -118.3280549298927}}}",Hollywood Walk of Fame,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106067990664539577682"">Angie</a>'], 'photo_reference': 'AeJbb3fTfF5uFJyMY-pQnNm17m-8nFzkeo29GHrxlB1XWk1EZNWdaO4cJiyXQYhLZMHHW1udk4IMP1eNRRi6bjKNMiXNRwYGRGW-GPMlqs7Gt_6m3tEda71uqxkjeVZQo1Rs-GsPTkifL3tK5k2Q-4Bb8X4zybRk-0TwFWP4m2O35nCy3lFV', 'width': 3024}]","Hollywood Boulevard, Vine St, Los Angeles",23/07/2022,0.0,0,0,0
1,ChIJywjU6WG_woAR3NrWwrEH_3M,"{'location': {'lat': 34.1184341, 'lng': -118.3003935}, 'viewport': {'northeast': {'lat': 34.12016757989272, 'lng': -118.2990254701073}, 'southwest': {'lat': 34.11746792010728, 'lng': -118.3017251298928}}}",Griffith Observatory,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101614847638508310992"">A Google User</a>'], 'photo_reference': 'AeJbb3ddSNI-zF-cr_OpnYTqPEkzi4f2o7dt6t0IU4r5wk3gJ_CnbMPoWjJQS-GSxbX2BYxJSQc8dyCM1-WYYOy9GeT1PbkSusDNYDEj1E8KuMe-9Ns9cIvkSHri1q2L0rbWuF7nGyJOwjfVlvjvzDRAoUhUhA-zbHRe2DoZBZSn4SBAaDc-', 'width': 1920}]","2800 E Observatory Rd, Los Angeles",23/07/2022,0.0,0,0,0
2,ChIJXaYsEk3GwoARvx7RKBUE8Zg,"{'location': {'lat': 34.0545021, 'lng': -118.2501802}, 'viewport': {'northeast': {'lat': 34.05579992989272, 'lng': -118.249345}, 'southwest': {'lat': 34.05310027010728, 'lng': -118.2520746}}}",The Broad,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115234379977861316628"">A Google User</a>'], 'photo_reference': 'AeJbb3fyP4upiTOVvvxjZh3KYB9TDRyaxBGb66dKrfJRv8k_FfFJ29u-pH6yFpqPDAkfZmIemuV6SK2jglMdsdNIH1ZAjJCDFFhDZPt715xQM9JsDVH6CfexmI2Xf3mBa6rT3mxHGo8BLC4rObg-SGBv8xBRFYLbdmRUMAExgbcZuX92k26p', 'width': 3024}]","221 S Grand Ave, Los Angeles",23/07/2022,0.0,0,0,0
3,ChIJ_yD1_SK5woARmWLyCit3znQ,"{'location': {'lat': 34.0637378, 'lng': -118.355451}, 'viewport': {'northeast': {'lat': 34.06523024999999, 'lng': -118.3538464201073}, 'southwest': {'lat': 34.06159364999999, 'lng': -118.3565460798928}}}",La Brea Tar Pits and Museum,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106477145280007025375"">luciana bruccilari</a>'], 'photo_reference': 'AeJbb3cRvQaAKsxS3N5talUUaYpjRdrXFVnW7ikXv4tZ3fcEyscEQVH9nrsod4vvHBlShXQzajK1gfP5KBaaqukp02P2s9WyMpNRRu4Q7pIMG63-Bj1Wr58BzISnRumpTp-YweuXBejAZXCVzL2SLPQZbEo_1OJBZkjb9qvoI789rNag3Y8L', 'width': 4032}]","5801 Wilshire Blvd, Los Angeles",23/07/2022,0.0,0,0,0
4,ChIJ_SlqhEzGwoARrIIERV62_po,"{'location': {'lat': 34.0516138, 'lng': -118.250585}, 'viewport': {'northeast': {'lat': 34.05266012989271, 'lng': -118.2488482701073}, 'southwest': {'lat': 34.04996047010727, 'lng': -118.2515479298928}}}",Angels Flight Railway,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115873747796932406567"">Victor Murstig</a>'], 'photo_reference': 'AeJbb3dZSx09N0-a0abVCoRcmaLmY4wesgdU3PmcEL_mpPGxeNPVkrYiddDYqiU1j_CoIbjp8O5DXuaimACO-OewwxXPa21ws1GtX8KH7jK2ThsqF4o6tBw2WA7K7mL0ZvpuGKuGUQPVe4vlwhc1S-sVhn9OQ-TOfo02q9S8iWUCMlQqt4K0', 'width': 4032}]","350 S Grand Ave, Los Angeles",23/07/2022,0.0,0,0,0
5,ChIJ9590IY3AwoARquS6ie60MUc,"{'location': {'lat': 34.13655440000001, 'lng': -118.2942}, 'viewport': {'northeast': {'lat': 34.17812335000001, 'lng': -118.25636735}, 'southwest': {'lat': 34.08504075, 'lng': -118.32697875}}}",Griffith Park,"[{'height': 3036, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117184900208412390616"">Devon n-m</a>'], 'photo_reference': 'AeJbb3dWx3NDAl9jdchmoumQFa8xUH5euaPEQUuIM0qWeSqv6TWovaqgKwjLNwBa-NK5V-fIOlbERSLsQhCUIIPHqs2q-4n5EPEkQOB91wJyM5vGbcy2Oj7XSxEUWPAVLbSD_7LTjnGR6FQn_ni9J3g2A2RfuD4K0jWR64FobmOgocw8iLta', 'width': 4048}]","4730 Crystal Springs Dr, Los Angeles",23/07/2022,0.0,0,0,0
6,ChIJiXJav6K6woARGPmX6Bsp55Y,"{'location': {'lat': 33.9835027, 'lng': -118.4676804}, 'viewport': {'northeast': {'lat': 33.98494322989272, 'lng': -118.4661716201073}, 'southwest': {'lat': 33.98224357010728, 'lng': -118.4688712798927}}}",Venice Canals,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106738461363629250782"">Abir Razzak</a>'], 'photo_reference': 'AeJbb3dkTVY7hNNXZ3dK7FBD9xYlSgbFo-heT2A-IzXrnK-W-xTUHseiwBnX_UX5BdsovugWrlsxqpIIsalzcsX2789pvMshV3zXfSoE4DrajaCUq6uH_husw_q5nLvXaqiDF01IUcntOAzd9_3O8-RE1qh3quMZL7i92ZtTfNZCaiVdpXeY', 'width': 4032}]",Venice,23/07/2022,0.0,0,0,0
7,ChIJ53JDjkvGwoAR2NMG6_1OnUg,"{'location': {'lat': 34.0507331, 'lng': -118.2488009}, 'viewport': {'northeast': {'lat': 34.05219922989272, 'lng': -118.2476602201073}, 'southwest': {'lat': 34.04949957010728, 'lng': -118.2503598798927}}}",Grand Central Market,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113228139681161541592"">Uno Dei Tanti</a>'], 'photo_reference': 'AeJbb3cCZvbA0Gc0SPJee5IpsTSY0ul7kbZBWaDh8X1KPIaqxBnxy508mUCxX74d30Gs19ZfgZeUibDmT6ehob0SfY3zjZZ1IQatHuN-T6wQ9oigjGXbo5B25pf9hmCqyrsRyyYJCcsUsyZg2ZnXccIPi__3t2Un8mnDkMqiO05ajBaNs1eF', 'width': 4032}]","317 S Broadway, Los Angeles",23/07/2022,0.0,0,0,0
8,ChIJaRbaXjy5woARERNJSyktTog,"{'location': {'lat': 34.062024, 'lng': -118.3613631}, 'viewport': {'northeast': {'lat': 34.06344282989271, 'lng': -118.3602385701073}, 'southwest': {'lat': 34.06074317010727, 'lng': -118.3629382298927}}}",Petersen Automotive Museum,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114322155102848107194"">Kevin</a>'], 'photo_reference': 'AeJbb3cwBx3vLKJCh93Ii5ng9tMYPWOXYb7PDE-SEcs7Ek_Cw2OX5r6s9gVQPw5pfabwF__Cw_wqmiqrWJgR3YU6hW9maLyFz-og3IvJoVBMik-6y1xhlNR0kNAZAxU6uer-7bJTpmLYTSsokUbWzAHim221V81oWi16JNNh3pEJbm6kcfLH', 'width': 4032}]","6060 Wilshire Blvd, Los Angeles",23/07/2022,0.0,0,0,0
9,ChIJhX1uVuC-woARQNzq4-b1Prk,"{'location': {'lat': 34.1124069, 'lng': -118.3512352}, 'viewport': {'northeast': {'lat': 34.1266358, 'lng': -118.34628265}, 'southwest': {'lat': 34.09808020000001, 'lng': -118.35685885}}}",Runyon Canyon Park,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112419762869300023445"">Daniel E Jakes</a>'], 'photo_reference': 'AeJbb3dfJY2L7tKJgOiOzI1lb955AVLWTs5cPVA7rJ1LP6O_8QWG5BVFDHQ2Ww3_KJOQgXceVQJXSya92LVLmPEDitaKXQZm4Dn_Vp-pDqn7O6SI_6YreMMdhhnFjCt9CokOIKFTYaXTD3m371aD849lS4n0b8292l1NArp9nLJ2jYusohpg', 'width': 4032}]","2000 N Fuller Ave, Los Angeles",23/07/2022,0.0,0,0,0
