business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 34.1016345, 'lng': -118.3267051}, 'viewport': {'northeast': {'lat': 34.10298432989271, 'lng': -118.3253552701073}, 'southwest': {'lat': 34.10028467010727, 'lng': -118.3280549298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Hollywood Walk of Fame,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106067990664539577682"">Angie</a>'], 'photo_reference': 'AeJbb3cSJEWfn38bKntqHwp9ni5g9Vd-NiibVnkjfNMpeCwCFyb8_6WKkN0aed2kIJBICcRMwvRCFZpUIFjJh1jUQcLRz1pLbpD6gFgHpcxF8bxyKW0MoSWx2trU-ZRnoiLDt0dFFYe60rgF6VgTebwBOQOGSlBpe902pKnJJy8rNtUzdsyG', 'width': 3024}]",ChIJXyC7WTu_woARPvVMCHBXd4U,"{'compound_code': '4M2F+M8 Los Angeles, California, USA', 'global_code': '85634M2F+M8'}",4.0,ChIJXyC7WTu_woARPvVMCHBXd4U,GOOGLE,"['tourist_attraction', 'point_of_interest', 'establishment']",36843.0,"Hollywood Boulevard, Vine St, Los Angeles",,
OPERATIONAL,"{'location': {'lat': 34.1184341, 'lng': -118.3003935}, 'viewport': {'northeast': {'lat': 34.12016757989272, 'lng': -118.2990254701073}, 'southwest': {'lat': 34.11746792010728, 'lng': -118.3017251298928}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Griffith Observatory,{'open_now': False},"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101614847638508310992"">A Google User</a>'], 'photo_reference': 'AeJbb3cd4_WdUu8xt_uzmhUhABn5sm4EzMlYDIoKEV39hRMAMQj92m3yB5upoSUWF237SIlkOqI7h1rIZrBYRVbFF7fyUI1kfevuDKIGoVv726J86jqtC3Lgl7xlJvNZ7T0TjY3sye0G8UwPMeBUF3lLZ2CK--vJyBx30Oi7GgLpu1nP__zo', 'width': 1920}]",ChIJywjU6WG_woAR3NrWwrEH_3M,"{'compound_code': '4M9X+9R Los Angeles, California, USA', 'global_code': '85634M9X+9R'}",4.7,ChIJywjU6WG_woAR3NrWwrEH_3M,GOOGLE,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",8221.0,"2800 E Observatory Rd, Los Angeles",,
OPERATIONAL,"{'location': {'lat': 34.0545021, 'lng': -118.2501802}, 'viewport': {'northeast': {'lat': 34.05579992989272, 'lng': -118.249345}, 'southwest': {'lat': 34.05310027010728, 'lng': -118.2520746}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,The Broad,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115234379977861316628"">A Google User</a>'], 'photo_reference': 'AeJbb3fhpzAufrZiS9WHx5I830xA6smycuOJcgKTinr5OY3P9n5iRNbxj2D31k89vFhJ3IIehiQziZ6FcwyNtLiRLXsKMJw6OGzvDpdwE_4BlHbNVqZtP8pfj3dwu6YiSJmAEWZlKX6FVaCRrc9btzRqm7DNVZG3dYLWSEatBuIVhvx5h_gx', 'width': 3024}]",ChIJXaYsEk3GwoARvx7RKBUE8Zg,"{'compound_code': '3P3X+RW Los Angeles, California, USA', 'global_code': '85633P3X+RW'}",4.7,ChIJXaYsEk3GwoARvx7RKBUE8Zg,GOOGLE,"['tourist_attraction', 'art_gallery', 'museum', 'point_of_interest', 'establishment']",11381.0,"221 S Grand Ave, Los Angeles",,
OPERATIONAL,"{'location': {'lat': 34.0637378, 'lng': -118.355451}, 'viewport': {'northeast': {'lat': 34.06523024999999, 'lng': -118.3538464201073}, 'southwest': {'lat': 34.06159364999999, 'lng': -118.3565460798928}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,La Brea Tar Pits and Museum,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106477145280007025375"">luciana bruccilari</a>'], 'photo_reference': 'AeJbb3ct1wJ7h-1L9H6s2NOma6Kg1R7Vi1dEGUmDxLKk1TksdP37z1tGxfEDhA6BpWRl8lzO6qZEm23s4Aiffxpt6OwTtcV84gElkabErJlkC5ScUDVq50Kw2gy0yfGa-tDdQdKOUFYb5bUa4R_ZW-TdCOD6YZjaKu0jQWM9OHqlvpfxyv5j', 'width': 4032}]",ChIJ_yD1_SK5woARmWLyCit3znQ,"{'compound_code': '3J7V+FR Los Angeles, California, USA', 'global_code': '85633J7V+FR'}",4.6,ChIJ_yD1_SK5woARmWLyCit3znQ,GOOGLE,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",10792.0,"5801 Wilshire Blvd, Los Angeles",,
OPERATIONAL,"{'location': {'lat': 34.0516138, 'lng': -118.250585}, 'viewport': {'northeast': {'lat': 34.05266012989271, 'lng': -118.2488482701073}, 'southwest': {'lat': 34.04996047010727, 'lng': -118.2515479298928}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Angels Flight Railway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115873747796932406567"">Victor Murstig</a>'], 'photo_reference': 'AeJbb3cO6M4u8v4FHgHjrOaJ621Z8SQ1k5BKPSTbwqarOJhtZwEy2epOuSHXjfdzPCAqDbEGhlT6LjuxidQeedAIU-ItH9LN8c3lxYJwshz4QC2vslV5qCVnmfeVfXr_eCnSqomI91dGfWO_fMyxDtDSUPtsqIRWhoBWOlEGYZUb9DOeQwPr', 'width': 4032}]",ChIJ_SlqhEzGwoARrIIERV62_po,"{'compound_code': '3P2X+JQ Los Angeles, California, USA', 'global_code': '85633P2X+JQ'}",4.5,ChIJ_SlqhEzGwoARrIIERV62_po,GOOGLE,"['tourist_attraction', 'point_of_interest', 'establishment']",1973.0,"350 S Grand Ave, Los Angeles",,
OPERATIONAL,"{'location': {'lat': 34.13655440000001, 'lng': -118.2942}, 'viewport': {'northeast': {'lat': 34.17812335000001, 'lng': -118.25636735}, 'southwest': {'lat': 34.08504075, 'lng': -118.32697875}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Griffith Park,{'open_now': True},"[{'height': 3036, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117184900208412390616"">Devon n-m</a>'], 'photo_reference': 'AeJbb3f1ua_wuFKGDKadebjhypm5D-2qG8mo9fHx4y0N-vl1aOW91kA47-wfFwap5QZXVQKK3_7J5-49fD-w0FwyvIppDaA81NrKAAABqoXs7JhBeFVa3zNP2csToALdVByPer1ga9Mg6cd4SW9o2Uj_L2TsGlEChAp9F2xkoRM9WcUbAFCt', 'width': 4048}]",ChIJ9590IY3AwoARquS6ie60MUc,"{'compound_code': '4PP4+J8 Los Angeles, California, USA', 'global_code': '85634PP4+J8'}",4.7,ChIJ9590IY3AwoARquS6ie60MUc,GOOGLE,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",55436.0,"4730 Crystal Springs Dr, Los Angeles",,
OPERATIONAL,"{'location': {'lat': 34.062024, 'lng': -118.3613631}, 'viewport': {'northeast': {'lat': 34.06344282989271, 'lng': -118.3602385701073}, 'southwest': {'lat': 34.06074317010727, 'lng': -118.3629382298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Petersen Automotive Museum,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114322155102848107194"">Kevin</a>'], 'photo_reference': 'AeJbb3cR7-WWn1F1MgMcZXYuSnXhSOo2qPmpkAgxC_0akDoo5p5hzjU9bzh7HQ_X_9RUV7EIrNYbLziT9ckbn-ZCLsk2e3TP85Gu_qRltPcxdaholVJe3-SOJtabXLbQok0KtswrhSlvmMIuWmYsTUSFIZBpYB4G_8wLPmHHFynbTHU5wKMZ', 'width': 4032}]",ChIJaRbaXjy5woARERNJSyktTog,"{'compound_code': '3J6Q+RF Los Angeles, California, USA', 'global_code': '85633J6Q+RF'}",4.7,ChIJaRbaXjy5woARERNJSyktTog,GOOGLE,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",8169.0,"6060 Wilshire Blvd, Los Angeles",,
OPERATIONAL,"{'location': {'lat': 34.13811680000001, 'lng': -118.3533783}, 'viewport': {'northeast': {'lat': 34.14022815000001, 'lng': -118.34702325}, 'southwest': {'lat': 34.13178275000001, 'lng': -118.36030945}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Universal Studios Hollywood,{'open_now': True},"[{'height': 408, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107539723157156215673"">A Google User</a>'], 'photo_reference': 'AeJbb3eOmGcwSX_d9UiNogPknP6TVTMuCv0N7xF7g4sEQnb7JMBF2I4c_IMjkCzGgYfIcOZXA1537PflR-v7PRmnEF6Jc3Hn-VVB38qIHxwy-08paSTchLHEAUCynimoXCkJhKLoMvL1AztZqGPjXknwGLWs0wBRPE-r1z5MA6IUqldVCLn4', 'width': 612}]",ChIJzzgyJU--woARcZqceSdQ3dM,"{'compound_code': '4JQW+6J Universal City, California, USA', 'global_code': '85634JQW+6J'}",4.6,ChIJzzgyJU--woARcZqceSdQ3dM,GOOGLE,"['tourist_attraction', 'amusement_park', 'point_of_interest', 'establishment']",124455.0,"100 Universal City Plaza, Universal City",,
OPERATIONAL,"{'location': {'lat': 34.0507331, 'lng': -118.2488009}, 'viewport': {'northeast': {'lat': 34.05219922989272, 'lng': -118.2476602201073}, 'southwest': {'lat': 34.04949957010728, 'lng': -118.2503598798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Grand Central Market,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113228139681161541592"">Uno Dei Tanti</a>'], 'photo_reference': 'AeJbb3fnsEnI6e2SUaiZQmL6V42eBH6gTH3UMq59QNFw-QSCnqQlQK9jJeoc_cZkvaE9IRV-qcDoYRCZgTR6bz8AR_RgZYwznV6ln1jGuSTveVNsVw4Ik72m_BVRKQc8itsR4JCYxdEmcmhMR8Aonje04L3up2yrem9RAPPiW4OFM5WyOCdA', 'width': 4032}]",ChIJ53JDjkvGwoAR2NMG6_1OnUg,"{'compound_code': '3Q22+7F Los Angeles, California, USA', 'global_code': '85633Q22+7F'}",4.5,ChIJ53JDjkvGwoAR2NMG6_1OnUg,GOOGLE,"['tourist_attraction', 'food', 'point_of_interest', 'establishment']",25867.0,"317 S Broadway, Los Angeles",2.0,
OPERATIONAL,"{'location': {'lat': 34.07803579999999, 'lng': -118.4740954}, 'viewport': {'northeast': {'lat': 34.09341995, 'lng': -118.4729818}, 'southwest': {'lat': 34.07290775000001, 'lng': -118.4774362}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,The Getty,{'open_now': False},"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110068846496714746810"">Suman Dutta</a>'], 'photo_reference': 'AeJbb3fu7Yp3v3OjR9UsEwQQTST9znORmcwidO2AKFrHFVgKrYaBZEw1pG3a7_89cy2X6CLHw6QREziFwZWIAQm_dKupzMVWPxS8xmEuCLEZU9Xd8JglviMAH1Sv3q-ubUy92NchBhLhYedvmjI6EsF3hQR30xVUKS-Ww08SnazdWACAwpH-', 'width': 4928}]",ChIJbzYnQte8woARJaqqFVpKeNo,"{'compound_code': '3GHG+69 Los Angeles, California, USA', 'global_code': '85633GHG+69'}",4.8,ChIJbzYnQte8woARJaqqFVpKeNo,GOOGLE,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",24029.0,"1200 Getty Center Dr, Los Angeles",,
